  1000  1.0000E+00
   i   x             den           ener          pres          vel           cs
    85  1.014000E-01  2.445896E-05  2.988728E+03  4.873412E-02  2.433600E-02  5.762646E+01
    86  1.026000E-01  2.578875E-05  2.834615E+03  4.873412E-02  2.462400E-02  5.612105E+01
    87  1.038000E-01  2.717411E-05  2.690104E+03  4.873412E-02  2.491200E-02  5.467179E+01
    88  1.050000E-01  2.861667E-05  2.554497E+03  4.873412E-02  2.520000E-02  5.327597E+01
    89  1.062000E-01  3.011810E-05  2.427151E+03  4.873412E-02  2.548800E-02  5.193106E+01
    90  1.074000E-01  3.168010E-05  2.307480E+03  4.873412E-02  2.577600E-02  5.063464E+01
    91  1.086000E-01  3.330439E-05  2.194942E+03  4.873412E-02  2.606400E-02  4.938445E+01
    92  1.098000E-01  3.499273E-05  2.089040E+03  4.873412E-02  2.635200E-02  4.817836E+01
    93  1.110000E-01  3.674690E-05  1.989316E+03  4.873412E-02  2.664000E-02  4.701437E+01
    94  1.122000E-01  3.856871E-05  1.895350E+03  4.873413E-02  2.692800E-02  4.589056E+01
    95  1.134000E-01  4.046001E-05  1.806752E+03  4.873413E-02  2.721600E-02  4.480515E+01
    96  1.146000E-01  4.242268E-05  1.723163E+03  4.873413E-02  2.750400E-02  4.375643E+01
    97  1.158000E-01  4.445860E-05  1.644253E+03  4.873413E-02  2.779200E-02  4.274281E+01
    98  1.170000E-01  4.656973E-05  1.569715E+03  4.873413E-02  2.808000E-02  4.176275E+01
    99  1.182000E-01  4.875801E-05  1.499265E+03  4.873413E-02  2.836800E-02  4.081483E+01
   100  1.194000E-01  5.102545E-05  1.432642E+03  4.873413E-02  2.865600E-02  3.989767E+01
   101  1.206000E-01  5.337406E-05  1.369602E+03  4.873413E-02  2.894400E-02  3.900999E+01
   102  1.218000E-01  5.580591E-05  1.309919E+03  4.873413E-02  2.923200E-02  3.815056E+01
   103  1.230000E-01  5.832307E-05  1.253384E+03  4.873414E-02  2.952000E-02  3.731821E+01
   104  1.242000E-01  6.092767E-05  1.199803E+03  4.873414E-02  2.980801E-02  3.651184E+01
   105  1.254000E-01  6.362185E-05  1.148995E+03  4.873414E-02  3.009601E-02  3.573040E+01
   106  1.266000E-01  6.640780E-05  1.100793E+03  4.873414E-02  3.038401E-02  3.497289E+01
   107  1.278000E-01  6.928772E-05  1.055039E+03  4.873414E-02  3.067201E-02  3.423836E+01
   108  1.290000E-01  7.226386E-05  1.011588E+03  4.873415E-02  3.096001E-02  3.352590E+01
   109  1.302000E-01  7.533849E-05  9.703039E+02  4.873415E-02  3.124801E-02  3.283467E+01
   110  1.314000E-01  7.851391E-05  9.310608E+02  4.873415E-02  3.153601E-02  3.216383E+01
   111  1.326000E-01  8.179248E-05  8.937403E+02  4.873415E-02  3.182401E-02  3.151261E+01
   112  1.338000E-01  8.517655E-05  8.582320E+02  4.873415E-02  3.211201E-02  3.088027E+01
   113  1.350000E-01  8.866853E-05  8.244328E+02  4.873416E-02  3.240001E-02  3.026609E+01
   114  1.362000E-01  9.227086E-05  7.922463E+02  4.873416E-02  3.268801E-02  2.966940E+01
   115  1.374000E-01  9.598600E-05  7.615824E+02  4.873416E-02  3.297601E-02  2.908956E+01
   116  1.386000E-01  9.981646E-05  7.323567E+02  4.873417E-02  3.326401E-02  2.852595E+01
   117  1.398000E-01  1.037648E-04  7.044902E+02  4.873417E-02  3.355201E-02  2.797797E+01
   118  1.410000E-01  1.078335E-04  6.779087E+02  4.873417E-02  3.384001E-02  2.744507E+01
   119  1.422000E-01  1.120252E-04  6.525428E+02  4.873418E-02  3.412801E-02  2.692671E+01
   120  1.434000E-01  1.163426E-04  6.283274E+02  4.873418E-02  3.441601E-02  2.642237E+01
   121  1.446000E-01  1.207884E-04  6.052014E+02  4.873418E-02  3.470401E-02  2.593156E+01
   122  1.458000E-01  1.253651E-04  5.831071E+02  4.873419E-02  3.499202E-02  2.545382E+01
   123  1.470000E-01  1.300756E-04  5.619908E+02  4.873419E-02  3.528002E-02  2.498868E+01
   124  1.482000E-01  1.349226E-04  5.418016E+02  4.873419E-02  3.556802E-02  2.453572E+01
   125  1.494000E-01  1.399090E-04  5.224919E+02  4.873420E-02  3.585602E-02  2.409453E+01
   126  1.506000E-01  1.450375E-04  5.040166E+02  4.873420E-02  3.614402E-02  2.366471E+01
   127  1.518000E-01  1.503111E-04  4.863336E+02  4.873421E-02  3.643202E-02  2.324587E+01
   128  1.530000E-01  1.557326E-04  4.694029E+02  4.873421E-02  3.672002E-02  2.283766E+01
   129  1.542000E-01  1.613050E-04  4.531871E+02  4.873422E-02  3.700802E-02  2.243972E+01
   130  1.554000E-01  1.670312E-04  4.376508E+02  4.873422E-02  3.729602E-02  2.205173E+01
   131  1.566000E-01  1.729144E-04  4.227604E+02  4.873423E-02  3.758403E-02  2.167334E+01
   132  1.578000E-01  1.789574E-04  4.084847E+02  4.873424E-02  3.787203E-02  2.130427E+01
   133  1.590000E-01  1.851635E-04  3.947937E+02  4.873424E-02  3.816003E-02  2.094420E+01
   134  1.602000E-01  1.915356E-04  3.816594E+02  4.873425E-02  3.844803E-02  2.059286E+01
   135  1.614000E-01  1.980771E-04  3.690553E+02  4.873426E-02  3.873603E-02  2.024997E+01
   136  1.626000E-01  2.047910E-04  3.569561E+02  4.873426E-02  3.902403E-02  1.991527E+01
   137  1.638000E-01  2.116806E-04  3.453383E+02  4.873427E-02  3.931204E-02  1.958850E+01
   138  1.650000E-01  2.187491E-04  3.341793E+02  4.873428E-02  3.960004E-02  1.926941E+01
   139  1.662000E-01  2.259999E-04  3.234579E+02  4.873429E-02  3.988804E-02  1.895778E+01
   140  1.674000E-01  2.334362E-04  3.131539E+02  4.873430E-02  4.017604E-02  1.865338E+01
   141  1.686000E-01  2.410615E-04  3.032482E+02  4.873430E-02  4.046404E-02  1.835599E+01
   142  1.698000E-01  2.488791E-04  2.937229E+02  4.873431E-02  4.075205E-02  1.806540E+01
   143  1.710000E-01  2.568925E-04  2.845606E+02  4.873432E-02  4.104005E-02  1.778141E+01
   144  1.722000E-01  2.651051E-04  2.757453E+02  4.873433E-02  4.132805E-02  1.750382E+01
   145  1.734000E-01  2.735205E-04  2.672615E+02  4.873434E-02  4.161605E-02  1.723245E+01
   146  1.746000E-01  2.821423E-04  2.590946E+02  4.873435E-02  4.190406E-02  1.696711E+01
   147  1.758000E-01  2.909740E-04  2.512306E+02  4.873436E-02  4.219206E-02  1.670763E+01
   148  1.770000E-01  3.000192E-04  2.436563E+02  4.873438E-02  4.248006E-02  1.645385E+01
   149  1.782000E-01  3.092816E-04  2.363593E+02  4.873439E-02  4.276807E-02  1.620560E+01
   150  1.794000E-01  3.187649E-04  2.293277E+02  4.873440E-02  4.305607E-02  1.596272E+01
   151  1.806000E-01  3.284728E-04  2.225500E+02  4.873441E-02  4.334407E-02  1.572507E+01
   152  1.818000E-01  3.384092E-04  2.160155E+02  4.873443E-02  4.363208E-02  1.549249E+01
   153  1.830000E-01  3.485778E-04  2.097141E+02  4.873444E-02  4.392008E-02  1.526485E+01
   154  1.842000E-01  3.589825E-04  2.036358E+02  4.873445E-02  4.420809E-02  1.504201E+01
   155  1.854000E-01  3.696271E-04  1.977715E+02  4.873447E-02  4.449609E-02  1.482384E+01
   156  1.866000E-01  3.805157E-04  1.921123E+02  4.873448E-02  4.478409E-02  1.461020E+01
   157  1.878000E-01  3.916521E-04  1.866497E+02  4.873450E-02  4.507210E-02  1.440099E+01
   158  1.890000E-01  4.030404E-04  1.813758E+02  4.873452E-02  4.536010E-02  1.419608E+01
   159  1.902000E-01  4.146845E-04  1.762829E+02  4.873453E-02  4.564811E-02  1.399535E+01
   160  1.914000E-01  4.265887E-04  1.713637E+02  4.873455E-02  4.593611E-02  1.379870E+01
   161  1.926000E-01  4.387570E-04  1.666112E+02  4.873457E-02  4.622412E-02  1.360601E+01
   162  1.938000E-01  4.511936E-04  1.620189E+02  4.873459E-02  4.651213E-02  1.341719E+01
   163  1.950000E-01  4.639027E-04  1.575803E+02  4.873461E-02  4.680013E-02  1.323213E+01
   164  1.962000E-01  4.768885E-04  1.532894E+02  4.873463E-02  4.708814E-02  1.305073E+01
   165  1.974000E-01  4.901552E-04  1.491405E+02  4.873465E-02  4.737614E-02  1.287290E+01
   166  1.986000E-01  5.037073E-04  1.451280E+02  4.873467E-02  4.766415E-02  1.269855E+01
   167  1.998000E-01  5.175490E-04  1.412466E+02  4.873469E-02  4.795216E-02  1.252760E+01
   168  2.010000E-01  5.316848E-04  1.374914E+02  4.873471E-02  4.824016E-02  1.235994E+01
   169  2.022000E-01  5.461191E-04  1.338575E+02  4.873474E-02  4.852817E-02  1.219551E+01
   170  2.034000E-01  5.608563E-04  1.303402E+02  4.873476E-02  4.881618E-02  1.203422E+01
   171  2.046000E-01  5.759011E-04  1.269353E+02  4.873479E-02  4.910419E-02  1.187599E+01
   172  2.058000E-01  5.912579E-04  1.236385E+02  4.873481E-02  4.939220E-02  1.172075E+01
   173  2.070000E-01  6.069313E-04  1.204457E+02  4.873484E-02  4.968020E-02  1.156843E+01
   174  2.082000E-01  6.229260E-04  1.173531E+02  4.873487E-02  4.996821E-02  1.141895E+01
   175  2.094000E-01  6.392467E-04  1.143570E+02  4.873490E-02  5.025622E-02  1.127224E+01
   176  2.106000E-01  6.558980E-04  1.114539E+02  4.873493E-02  5.054423E-02  1.112824E+01
   177  2.118000E-01  6.728848E-04  1.086404E+02  4.873496E-02  5.083224E-02  1.098688E+01
   178  2.130000E-01  6.902118E-04  1.059131E+02  4.873499E-02  5.112025E-02  1.084810E+01
   179  2.142000E-01  7.078839E-04  1.032691E+02  4.873502E-02  5.140826E-02  1.071184E+01
   180  2.154000E-01  7.259059E-04  1.007053E+02  4.873506E-02  5.169628E-02  1.057803E+01
   181  2.166000E-01  7.442828E-04  9.821890E+01  4.873509E-02  5.198429E-02  1.044663E+01
   182  2.178000E-01  7.630196E-04  9.580710E+01  4.873513E-02  5.227230E-02  1.031757E+01
   183  2.190000E-01  7.821212E-04  9.346729E+01  4.873516E-02  5.256031E-02  1.019081E+01
   184  2.202000E-01  8.015927E-04  9.119695E+01  4.873520E-02  5.284832E-02  1.006628E+01
